Label,Processed_Text
ham,"  (0, 8026)	0.19609779550499865
  (0, 298)	0.20576584608648707
  (0, 2000)	0.1724380988028645
  (0, 5894)	0.18112918321389035
  (0, 8218)	0.20835566265357766
  (0, 8071)	0.17180268982025063
  (0, 7701)	0.15773819316506782
  (0, 3265)	0.14634242564090041"
ham,"  (0, 7498)	0.21400567377907695
  (0, 1521)	0.28658285266972805
  (0, 8206)	0.23249194493604006
  (0, 3320)	0.3002099553883031
  (0, 3523)	0.3002099553883031
  (0, 3712)	0.1882193247978571
  (0, 8209)	0.20702721152506223
  (0, 5926)	0.4993201279706855
  (0, 1643)	0.3002099553883031
  (0, 7404)	0.2091962589702298
  (0, 8219)	0.21812616257892295
  (0, 6291)	0.17341285297936185
  (0, 6495)	0.26328716670391783
  (0, 7877)	0.1711714512099797"
ham,"  (0, 7184)	0.735333130899948
  (0, 2394)	0.6777058260048234"
spam,"  (0, 6002)	0.26854764795619573
  (0, 2089)	0.16165977644274412
  (0, 3854)	0.19645740042239648
  (0, 4857)	0.15279693240262263
  (0, 4507)	0.21729615530496768
  (0, 8010)	0.4466582254751527
  (0, 2023)	0.46176924349925735
  (0, 2278)	0.20797166736385833
  (0, 7831)	0.17238284066049042
  (0, 8293)	0.5370952959123915
  (0, 7701)	0.13569976387963087"
ham,"  (0, 8031)	0.7771150566261213
  (0, 5338)	0.6293585534216407"
ham,"  (0, 8106)	0.4204668182721539
  (0, 4716)	0.2694639428952653
  (0, 5124)	0.4050261931704523
  (0, 2532)	0.26012742853549625
  (0, 8329)	0.26735886793226876
  (0, 6925)	0.44222915706776456
  (0, 6184)	0.3289686725560822
  (0, 2803)	0.37896775962420565"
ham,"  (0, 3495)	0.3986578717118648
  (0, 3076)	0.2491521999080193
  (0, 8043)	0.4499331360116774
  (0, 7416)	0.7155279322700469
  (0, 3128)	0.2541161818208544"
spam,"  (0, 5732)	0.23039230442479117
  (0, 8391)	0.23039230442479117
  (0, 599)	0.21993435810550607
  (0, 6474)	0.2125143271076259
  (0, 7985)	0.2125143271076259
  (0, 7665)	0.14736954879982106
  (0, 783)	0.40411276157668163
  (0, 5118)	0.16739814369877737
  (0, 7814)	0.10047685948156575
  (0, 5181)	0.17100294929514084
  (0, 7335)	0.3961609082483566
  (0, 3454)	0.21993435810550607
  (0, 4914)	0.13725781531924647
  (0, 2654)	0.1217511330201202
  (0, 4679)	0.23039230442479117
  (0, 2854)	0.3777618532246122
  (0, 363)	0.14586664978074854
  (0, 397)	0.18211390439749253
  (0, 7701)	0.11641949407513659"
ham,"  (0, 6555)	0.664323172370999
  (0, 6925)	0.7474454646667754"
ham,"  (0, 3595)	0.7483861268807014
  (0, 3463)	0.23306064199130583
  (0, 7665)	0.29580453538475004
  (0, 4991)	0.3741930634403507
  (0, 4192)	0.3975929707201085"
ham,"  (0, 2100)	0.46530100795478047
  (0, 7053)	0.5104672202201159
  (0, 2359)	0.3075872298065855
  (0, 5558)	0.4100901723811611
  (0, 8390)	0.3284587963327085
  (0, 4385)	0.3901911772003329"
ham,"  (0, 6812)	0.28454727055170453
  (0, 1154)	0.27132476699521735
  (0, 4589)	0.3854873845064719
  (0, 7078)	0.33284240487268363
  (0, 4645)	0.4930040056373787
  (0, 3131)	0.4909534838447882
  (0, 959)	0.27528213683668745
  (0, 7814)	0.16174858208431472"
ham,"  (0, 6865)	0.5197555296968118
  (0, 4822)	0.33918171583189743
  (0, 1031)	0.4154032248948263
  (0, 3094)	0.5791657430396526
  (0, 8043)	0.32682893970886656"
ham,"  (0, 4566)	0.19080983270224877
  (0, 5676)	0.26702532557275915
  (0, 7688)	0.2881540435851038
  (0, 6685)	0.2632380116408581
  (0, 4323)	0.2598119694506584
  (0, 8230)	0.2598119694506584
  (0, 3413)	0.20538477705640296
  (0, 4752)	0.26702532557275915
  (0, 7153)	0.27125918233682184
  (0, 7458)	0.24016578054775828
  (0, 3873)	0.25114310130849055
  (0, 6098)	0.18673609306584485
  (0, 6764)	0.306516301871159
  (0, 2769)	0.21719326168426767
  (0, 3219)	0.3210912462253132
  (0, 4226)	0.13432428292595758"
ham,"  (0, 2199)	0.8489465398139583
  (0, 4566)	0.5284787342343183"
ham,"  (0, 4610)	0.17727325515990736
  (0, 2564)	0.23932861937715355
  (0, 4437)	0.24510543294113082
  (0, 4972)	0.27268586138939455
  (0, 2772)	0.3002662898376583
  (0, 7329)	0.3002662898376583
  (0, 2800)	0.3117132018898648
  (0, 3308)	0.3392936303381285
  (0, 1723)	0.2476734302068105
  (0, 1845)	0.2913873750511315
  (0, 3076)	0.22213396950018677
  (0, 4716)	0.19976717491981355
  (0, 2532)	0.3856910943954338"
ham,"  (0, 6332)	0.3923099839182939
  (0, 4320)	0.2647612481394483
  (0, 4457)	0.3389018191189663
  (0, 4539)	0.261958736947978
  (0, 1807)	0.37871854178492187
  (0, 5478)	0.5745428189986584
  (0, 1052)	0.34494977950641187"
ham,"  (0, 2626)	0.33534671462441956
  (0, 7854)	0.4862859403621132
  (0, 8220)	0.27441595120897416
  (0, 980)	0.4862859403621132
  (0, 4566)	0.2889774791955558
  (0, 3076)	0.3039177711587488
  (0, 6184)	0.3336715111236016
  (0, 4485)	0.22820990925269957"
ham,"  (0, 4531)	0.34120309917607733
  (0, 2628)	0.38716978927109763
  (0, 6430)	0.4941330598095504
  (0, 7210)	0.3124352233785267
  (0, 2017)	0.4774622556093928
  (0, 7979)	0.3150111455548885
  (0, 8005)	0.2543511793341304"
ham,"  (0, 1932)	0.2633816680533032
  (0, 1323)	0.3167098395882055
  (0, 2641)	0.18213797581785374
  (0, 7495)	0.23169069715271565
  (0, 1849)	0.2921337959463949
  (0, 1956)	0.2842220770369181
  (0, 6952)	0.3167098395882055
  (0, 901)	0.3167098395882055
  (0, 3030)	0.3167098395882055
  (0, 1115)	0.3167098395882055
  (0, 8317)	0.1829438226943177
  (0, 8202)	0.1794535574326064
  (0, 4485)	0.14862926881669825
  (0, 3494)	0.2972585376333965"
ham,"  (0, 7353)	1.0"
ham,"  (0, 2331)	0.44668652150437943
  (0, 6013)	0.3714726428573282
  (0, 3839)	0.44668652150437943
  (0, 3022)	0.44668652150437943
  (0, 3068)	0.4120245499629401
  (0, 4226)	0.18686540788366074
  (0, 2532)	0.24236051595062794"
spam,"  (0, 6218)	0.3104949674535851
  (0, 2154)	0.2951248060843482
  (0, 4988)	0.25140540954319945
  (0, 1901)	0.5969408627988751
  (0, 7731)	0.2235784641855113
  (0, 6300)	0.261588326022973
  (0, 7142)	0.32744259915546214
  (0, 7405)	0.22243324178717483
  (0, 8329)	0.2082083028162744
  (0, 6217)	0.1969954039680927
  (0, 4951)	0.19920411414965386"
ham,"  (0, 809)	0.36707932744272703
  (0, 4455)	0.2899464600422636
  (0, 461)	0.2665445364700909
  (0, 4428)	0.32485592970751476
  (0, 8288)	0.3546949959914337
  (0, 5026)	0.21321404830119642
  (0, 7502)	0.3845340622753526
  (0, 4577)	0.2651777971396768
  (0, 8369)	0.25146878661823036
  (0, 8390)	0.2169963630718267
  (0, 3463)	0.19379327898920728
  (0, 3789)	0.19430883812079477
  (0, 5343)	0.1718029137759141"
ham,"  (0, 6334)	0.5923507884688958
  (0, 5382)	0.5465187409007007
  (0, 4320)	0.3112478704628285
  (0, 4457)	0.3984059987555275
  (0, 4539)	0.30795329602482785"
ham,"  (0, 4459)	0.8059523868107167
  (0, 1807)	0.5919803630139339"
ham,"  (0, 2423)	0.844604399913888
  (0, 4589)	0.5353908923824735"
ham,"  (0, 4058)	0.42919595273158684
  (0, 7667)	0.3042878717620085
  (0, 7555)	0.3453591799741088
  (0, 2424)	0.35382490732887645
  (0, 7396)	0.4000451658126412
  (0, 6442)	0.35382490732887645
  (0, 3709)	0.3031172446165157
  (0, 4226)	0.19465315058633806
  (0, 2532)	0.2524610549475872"
ham,"  (0, 855)	0.3777243950734411
  (0, 8073)	0.324213962315972
  (0, 8007)	0.3368251382168768
  (0, 8039)	0.4725027048681632
  (0, 979)	0.39917219445009666
  (0, 5708)	0.2600489683411647
  (0, 7210)	0.2851973519188034
  (0, 4226)	0.1976652672974298
  (0, 3534)	0.2610107545074717"
ham,"  (0, 8364)	0.3547985369032764
  (0, 4941)	0.36718648353094807
  (0, 7035)	0.3846463136685003
  (0, 1151)	0.3846463136685003
  (0, 7241)	0.2601833230977239
  (0, 2268)	0.30749093000050015
  (0, 5144)	0.19541588605739543
  (0, 3225)	0.29249241201193604
  (0, 7353)	0.20326687828429582
  (0, 4610)	0.1918466406851849
  (0, 2532)	0.20869910899760788
  (0, 8005)	0.1890064088358004"
spam,"  (0, 7557)	0.20232089650560928
  (0, 2463)	0.2584828216226615
  (0, 57)	0.26868144481669065
  (0, 1782)	0.27107949706090756
  (0, 5225)	0.22296407052375591
  (0, 6807)	0.22152552116694646
  (0, 7643)	0.25672449891814797
  (0, 1720)	0.33729488650197587
  (0, 6322)	0.3533333620143597
  (0, 30)	0.3533333620143597
  (0, 5026)	0.19591407863631172
  (0, 6217)	0.18642757986323846
  (0, 4951)	0.18851780372366128
  (0, 3265)	0.33128804790166666"
ham,"  (0, 6513)	1.0"
ham,"  (0, 3972)	0.48115894737039366
  (0, 3563)	0.24805244419071779
  (0, 4633)	0.24805244419071779
  (0, 2844)	0.5361574112285207
  (0, 4726)	0.34666496355574083
  (0, 3807)	0.2945439671785882
  (0, 4485)	0.25161417183994716
  (0, 3534)	0.296173649373236"
ham,"  (0, 4916)	0.40651966274275503
  (0, 4859)	0.40651966274275503
  (0, 1777)	0.8182197306390463"
ham,"  (0, 5194)	0.47135794548538373
  (0, 3953)	0.5667960887585006
  (0, 3723)	0.5667960887585006
  (0, 2534)	0.3678397405989868"
ham,"  (0, 3023)	0.8775591190895378
  (0, 3463)	0.4794684478699244"
ham,"  (0, 1498)	0.37241948270113673
  (0, 1203)	0.33119435402652814
  (0, 4798)	0.3927222116218934
  (0, 7714)	0.4896173246942917
  (0, 3810)	0.4994450615353409
  (0, 8317)	0.3289571387453713"
ham,"  (0, 7152)	0.30198040619741107
  (0, 3823)	0.2882729393383374
  (0, 7151)	0.30198040619741107
  (0, 8048)	0.5420071468917933
  (0, 7354)	0.2387008149488938
  (0, 4269)	0.2551142674545865
  (0, 3822)	0.24434837446363847
  (0, 7106)	0.30198040619741107
  (0, 2534)	0.19597946507524555
  (0, 4320)	0.13915883484163924
  (0, 4752)	0.25113240310785145
  (0, 8005)	0.1483862709349633
  (0, 2651)	0.15787295532941487"
ham,"  (0, 2009)	0.4451796607902022
  (0, 6449)	0.486348082682761
  (0, 7497)	0.3247917182828183
  (0, 7444)	0.6780788684396655"
ham,"  (0, 6499)	0.23020644516111066
  (0, 3409)	0.24406483976424823
  (0, 6787)	0.3053053984755212
  (0, 2805)	0.29144700387238365
  (0, 3610)	0.20291424534776414
  (0, 6375)	0.2816143164214535
  (0, 7843)	0.2624872047162313
  (0, 3515)	0.5828940077447673
  (0, 3563)	0.2824981944871251
  (0, 4633)	0.2824981944871251
  (0, 4485)	0.1432772603472257"
ham,"  (0, 5678)	0.29330401004383655
  (0, 2267)	0.4750749226604811
  (0, 4998)	0.28091560519573033
  (0, 6290)	0.4166455112975058
  (0, 3338)	0.40844704712919705
  (0, 7557)	0.2720308767675758
  (0, 7566)	0.29598616199347844
  (0, 2757)	0.32761550621021174"
ham,"  (0, 2827)	0.2875982177077716
  (0, 5324)	0.2875982177077716
  (0, 6874)	0.4444888971031284
  (0, 1853)	0.2875982177077716
  (0, 3645)	0.1661278267070669
  (0, 1455)	0.18595327337155187
  (0, 4486)	0.24296413650029677
  (0, 7461)	0.18595327337155187
  (0, 884)	0.2875982177077716
  (0, 2826)	0.2652811771040342
  (0, 6096)	0.2652811771040342
  (0, 8245)	0.2273323948700716
  (0, 2534)	0.18664570186092527
  (0, 2641)	0.16539605239365196
  (0, 6332)	0.19637814351331978
  (0, 2651)	0.15035406153906822"
spam,"  (0, 2840)	0.3407456677276367
  (0, 3983)	0.25302084798227453
  (0, 2216)	0.20000066684110213
  (0, 3774)	0.24153574889242016
  (0, 3907)	0.207432328690146
  (0, 5692)	0.1681645155373532
  (0, 8155)	0.25302084798227453
  (0, 6138)	0.20473259735091448
  (0, 2507)	0.24153574889242016
  (0, 2513)	0.25302084798227453
  (0, 4162)	0.25302084798227453
  (0, 5176)	0.13391981953273854
  (0, 6974)	0.5060416959645491
  (0, 870)	0.20226793573962737
  (0, 6807)	0.15863369056301616
  (0, 6217)	0.13350017126988076"
ham,"  (0, 7824)	0.4350760542291996
  (0, 8331)	0.34772500853767147
  (0, 6612)	0.4848070522181887
  (0, 4725)	0.4848070522181887
  (0, 3563)	0.22429527550140035
  (0, 4633)	0.22429527550140035
  (0, 4320)	0.2234091455112139
  (0, 2532)	0.26304372676476934"
spam,"  (0, 353)	0.2748525688226319
  (0, 641)	0.2658582449694952
  (0, 4067)	0.2658582449694952
  (0, 1743)	0.270073596926586
  (0, 7016)	0.2948807290219876
  (0, 4785)	0.2948807290219876
  (0, 7208)	0.2948807290219876
  (0, 219)	0.2948807290219876
  (0, 5535)	0.2526976963137941
  (0, 1995)	0.2658582449694952
  (0, 6912)	0.20521014443247315
  (0, 8318)	0.20521014443247315
  (0, 2160)	0.23728035205609263
  (0, 4914)	0.19045626333139745
  (0, 2654)	0.16893949388195253
  (0, 3265)	0.1498708851658547"
ham,"  (0, 4824)	0.60151258316787
  (0, 4397)	0.48760879968477827
  (0, 6874)	0.47385876552421957
  (0, 4539)	0.4193782792379082"
ham,"  (0, 6080)	0.8372587139361005
  (0, 7353)	0.54680695491011"
ham,"  (0, 6554)	0.4471691669726854
  (0, 5318)	0.47566446635961745
  (0, 6519)	0.4982824579186895
  (0, 3372)	0.4982824579186895
  (0, 8329)	0.27787089774352713"
ham,"  (0, 4294)	0.4998237004218878
  (0, 5485)	0.371031034020502
  (0, 1715)	0.4998237004218878
  (0, 5648)	0.3135386793095391
  (0, 8043)	0.2954672656840753
  (0, 3789)	0.26457540709471367
  (0, 3474)	0.3272322634360673"
ham,"  (0, 6514)	0.3319444982833177
  (0, 6731)	0.2721357580764036
  (0, 3431)	0.2524169438437819
  (0, 4188)	0.2804280535332787
  (0, 3476)	0.15529509876716405
  (0, 3595)	0.8057817352029121"
ham,"  (0, 4073)	0.7467046561602212
  (0, 1926)	0.6651557385068897"
ham,"  (0, 2095)	0.2861455987118742
  (0, 3222)	0.49300507570517327
  (0, 7570)	0.4463411074645061
  (0, 6335)	0.5546914863414428
  (0, 6874)	0.30980236352478785
  (0, 5343)	0.26867481830066214"
ham,"  (0, 5188)	0.19599590260820815
  (0, 6647)	0.259484541196073
  (0, 2346)	0.5060484335831233
  (0, 8273)	0.267391339248997
  (0, 6401)	0.3707241827080819
  (0, 2697)	0.2919520973142118
  (0, 3605)	0.2315465923509216
  (0, 1922)	0.2103630250656435
  (0, 2668)	0.23492378313085824
  (0, 4577)	0.2182698231185675
  (0, 2359)	0.16726165769333748
  (0, 8134)	0.224289971876691
  (0, 4385)	0.2121805354431693
  (0, 5343)	0.14141226002179683"
spam,"  (0, 267)	0.3278356470248993
  (0, 1562)	0.2512338207979043
  (0, 350)	0.31677529845504143
  (0, 1288)	0.2292225019102945
  (0, 4949)	0.24481118767848087
  (0, 6277)	0.29526006941413924
  (0, 6119)	0.31677529845504143
  (0, 3201)	0.29012626411699716
  (0, 942)	0.31677529845504143
  (0, 5701)	0.29526006941413924
  (0, 5894)	0.19926928798804666
  (0, 2342)	0.2133066105102288
  (0, 7862)	0.268611035076095"
ham,"  (0, 6351)	0.292927429819393
  (0, 3296)	0.2837736892758465
  (0, 7860)	0.33799443618902436
  (0, 2433)	0.3497956602653826
  (0, 2434)	0.3497956602653826
  (0, 6859)	0.5929935787692192
  (0, 7814)	0.1598039056129924
  (0, 2401)	0.17551492072722413
  (0, 7538)	0.18667011953050378
  (0, 6536)	0.17855495995447623"
spam,"  (0, 518)	0.26488792522226695
  (0, 4629)	0.26488792522226695
  (0, 297)	0.18520948986570532
  (0, 6670)	0.26488792522226695
  (0, 4995)	0.26488792522226695
  (0, 368)	0.17627283879834224
  (0, 2576)	0.19550287755395618
  (0, 299)	0.18290737530290554
  (0, 2876)	0.26488792522226695
  (0, 898)	0.26488792522226695
  (0, 7626)	0.26488792522226695
  (0, 2917)	0.26488792522226695
  (0, 7644)	0.20443952862131926
  (0, 2129)	0.2193371454351697
  (0, 1288)	0.18520948986570532
  (0, 7814)	0.12101386554688975
  (0, 7818)	0.16703891913892294
  (0, 2000)	0.15328199822335012
  (0, 607)	0.17234960873537136
  (0, 7701)	0.14021510102662263
  (0, 784)	0.24901946905828434"
spam,"  (0, 4267)	0.45029316899200134
  (0, 2097)	0.331759356039297
  (0, 1354)	0.45029316899200134
  (0, 2605)	0.42985350282773344
  (0, 3688)	0.3105258085949199
  (0, 5176)	0.23833285047111344
  (0, 2532)	0.24431738929215657
  (0, 7117)	0.29447242243994654"
ham,"  (0, 5684)	0.695753470423802
  (0, 2840)	0.5079011263982567
  (0, 4988)	0.5079011263982567"
ham,"  (0, 3701)	0.42115545395201637
  (0, 4979)	0.33652243617297917
  (0, 6445)	0.43569274794354135
  (0, 4639)	0.40600617310554565
  (0, 7972)	0.48322110542516705
  (0, 4726)	0.348150705327376"
ham,"  (0, 3133)	0.7490230731896023
  (0, 2009)	0.6625439123783446"
ham,"  (0, 8289)	0.5013394118161074
  (0, 8003)	0.4437874714870367
  (0, 3941)	0.39315392106757036
  (0, 1310)	0.39315392106757036
  (0, 3737)	0.3601283874237792
  (0, 3789)	0.3359747127105845"
ham,"  (0, 5594)	0.8789577413915356
  (0, 2532)	0.47689966329186095"
ham,
ham,"  (0, 4681)	0.7515166262553133
  (0, 7982)	0.5301885937825775
  (0, 3265)	0.39258478763788685"
ham,"  (0, 6244)	0.4434554068320266
  (0, 2554)	0.46640757900076457
  (0, 3397)	0.46640757900076457
  (0, 2204)	0.3333032288199606
  (0, 7415)	0.3306698692859521
  (0, 7634)	0.38450180475172485"
ham,"  (0, 5474)	0.4358071231065974
  (0, 6680)	0.5768803500513635
  (0, 5587)	0.6254109783309028
  (0, 4485)	0.293500121562752"
ham,"  (0, 5389)	0.7247810507849393
  (0, 3563)	0.3353188958786837
  (0, 4633)	0.3353188958786837
  (0, 2626)	0.49981487028346816"
ham,"  (0, 2758)	0.5991859255199995
  (0, 7268)	0.5302644043141518
  (0, 4177)	0.4104741029655087
  (0, 4581)	0.4373864412287609"
ham,"  (0, 4397)	0.6103782516054274
  (0, 6874)	0.59316625334809
  (0, 4539)	0.5249687475041644"
ham,"  (0, 977)	0.7009555070805645
  (0, 4226)	0.43548427432063236
  (0, 2532)	0.5648139728378369"
ham,"  (0, 3737)	0.7763700195212083
  (0, 8043)	0.4044342205126902
  (0, 3789)	0.3621495880006898
  (0, 5343)	0.320203419684834"
ham,"  (0, 5678)	0.6905935703414404
  (0, 4726)	0.7232430577634756"
ham,"  (0, 7063)	0.6267455202829313
  (0, 8369)	0.779224006820425"
ham,"  (0, 7821)	0.5909924648860501
  (0, 4397)	0.3572345299054977
  (0, 6807)	0.42249002902053856
  (0, 5169)	0.46957629679227686
  (0, 2651)	0.35229486791633097"
ham,"  (0, 5052)	0.45980842984088804
  (0, 7832)	0.35276781449402983
  (0, 4120)	0.43893684783021153
  (0, 7485)	0.3720554052200694
  (0, 8340)	0.31396691726260345
  (0, 6089)	0.3056011489203487
  (0, 5144)	0.23360128133570426
  (0, 3413)	0.294114688462287"
ham,"  (0, 5212)	0.33678471012944916
  (0, 3500)	0.27887038219662447
  (0, 3012)	0.35279892659852935
  (0, 2071)	0.3254224427224904
  (0, 1418)	0.24584199920240432
  (0, 1783)	0.2485669359644616
  (0, 6225)	0.3254224427224904
  (0, 7011)	0.26185621567148454
  (0, 2668)	0.26185621567148454
  (0, 5485)	0.2500033094392108
  (0, 4716)	0.19828998862047864
  (0, 8329)	0.19674093056850736
  (0, 1835)	0.20760005846401275
  (0, 6536)	0.17191345480049935"
ham,"  (0, 1310)	0.5700344265864732
  (0, 6098)	0.5606439351737456
  (0, 7566)	0.6006156262195712"
ham,"  (0, 8090)	0.3564071147458572
  (0, 2675)	0.3947223401512438
  (0, 3936)	0.39953208419362385
  (0, 4249)	0.42451654980467474
  (0, 2809)	0.4713527909620171
  (0, 2095)	0.23495072379742435
  (0, 7814)	0.2153371967512918
  (0, 3265)	0.23147926671858132"
ham,"  (0, 2030)	0.4119003618803232
  (0, 6999)	0.4579662763936469
  (0, 8317)	0.3181014908432443
  (0, 4539)	0.25108455461451995
  (0, 1845)	0.451470779926388
  (0, 7458)	0.4119003618803232
  (0, 2651)	0.28789789211081007"
ham,"  (0, 6607)	0.30597749988530465
  (0, 3976)	0.3317181587715267
  (0, 7118)	0.3317181587715267
  (0, 3667)	0.2394388619205657
  (0, 4811)	0.23506488042219834
  (0, 1843)	0.3317181587715267
  (0, 961)	0.23241118598642022
  (0, 4394)	0.20667052710019812
  (0, 6930)	0.27586285950071515
  (0, 5196)	0.18392901556806926
  (0, 5485)	0.23506488042219834
  (0, 6874)	0.3417847758042672
  (0, 7497)	0.15888905522293736
  (0, 4822)	0.19426690134368155
  (0, 5343)	0.14820571652901"
ham,"  (0, 6799)	0.17503228796536047
  (0, 4618)	0.19142080050176957
  (0, 1416)	0.2065672144489258
  (0, 3883)	0.19142080050176957
  (0, 7175)	0.21231730168237192
  (0, 6036)	0.18870581208993648
  (0, 5805)	0.21973045345106007
  (0, 7651)	0.19142080050176957
  (0, 5703)	0.19445589932338256
  (0, 6795)	0.7821195931078289
  (0, 5485)	0.16311114755247905
  (0, 4485)	0.10802093336703758"
spam,"  (0, 609)	0.2563516116261807
  (0, 3566)	0.2292280879365506
  (0, 835)	0.32272462659439355
  (0, 307)	0.30380284531421664
  (0, 647)	0.34328985231556863
  (0, 366)	0.34328985231556863
  (0, 53)	0.2812733862178239
  (0, 6222)	0.2909822808054887
  (0, 6558)	0.22336190552953936
  (0, 299)	0.23704457574831148
  (0, 8202)	0.20376348986412798
  (0, 1835)	0.21160994328816657
  (0, 5894)	0.20866286221537553
  (0, 2342)	0.22336190552953936"
ham,"  (0, 627)	0.37764643686024363
  (0, 4470)	0.39719249696952985
